# userId: recommendations in (itemId, ranking score) pairs, where a correct recommendation is denoted by symbol *.
4, U Nghỉ dưỡng;U Hồ sông suối;T Thắng cảnh;T Giải trí;T Mạo hiểm;T Hồ sông suối;price:2;price:3;price:4: (30, 4.4933414), (28, 4.464349), (38, 4.326879), (48, 4.302678), (39, 4.2211533), (21, 4.115595), (27, 4.103985), (45, 4.0549684), (44, 3.998465), (46, 3.9908936), (29, 3.939338), (5, 3.8941295), (16, 3.8875508), (10, 3.7298646), (3, 3.7002983), (1, 3.68092), (22, 3.6359642), (52, 3.6353917), (41, 3.6095188), (15, 3.5422494), (19, 3.5291607), (43, 3.5179994), (40, 3.5143492), (14, 3.4874485), (6*, 3.4629354), (8, 3.4438758), (11, 3.423346), (37, 3.3874977), (23, 3.3443463), (25, 3.3359523), (20, 3.2828152), (42, 3.274745), (13, 3.2603302), (50, 3.2482798), (17, 3.2194934), (2, 3.2136047), (26, 3.1974137), (34, 3.19717), (24, 3.1912155), (7, 3.120244), (36, 3.02789), (31, 3.0255008), (49, 3.012259), (51, 2.9879453), (53, 2.9666867), (32, 2.9344265), (9, 2.9154098), (47, 2.9080982), (4, 2.8435867), (12, 2.8256555), (18, 2.6519628), (33, 2.3645542), (35, 2.22928), 
4, U Nghỉ dưỡng;U Hồ sông suối;T Ẩm thực;price:1;price:2: (28, 3.932126), (30, 3.859168), (39, 3.8523796), (21, 3.6293793), (46, 3.5072472), (22, 3.4806583), (38, 3.4680002), (44, 3.3113213), (27, 3.2882876), (16, 3.2737377), (19, 3.1604035), (48, 3.1387415), (3, 3.047417), (10, 3.0374563), (29, 3.0195894), (6, 3.0156214), (15, 2.9984837), (14, 2.9466379), (5, 2.945059), (32, 2.94185), (25, 2.931944), (11, 2.9144382), (53, 2.908073), (43, 2.890336), (41, 2.8838894), (50, 2.858676), (52, 2.8419666), (49, 2.8076656), (36, 2.7919042), (13, 2.7398446), (37, 2.7249968), (45, 2.7151911), (17, 2.7052333), (8, 2.641993), (26, 2.5872123), (42, 2.5362055), (40*, 2.5009923), (1, 2.4684784), (2, 2.461558), (20, 2.4287133), (23, 2.3809924), (47, 2.356462), (12, 2.3183641), (51, 2.2689872), (31, 2.2284744), (7, 2.2095888), (4, 2.1874154), (9, 2.1485264), (24, 2.1189983), (34, 2.0898955), (18, 1.960804), (35, 1.3966073), 
10, U Ẩm thực;U Đô thị;U Đồi núi;U Rừng;T Nghỉ dưỡng;price:3;price:4: (36, 4.98677), (25, 4.569726), (45, 4.525252), (8, 4.517571), (4, 4.411897), (40, 4.304715), (48*, 4.258296), (14, 4.1457686), (37, 4.12539), (19, 4.021919), (11, 3.949847), (49, 3.929338), (16, 3.9110386), (34, 3.888445), (22, 3.8086686), (10, 3.7736669), (41, 3.6694238), (47, 3.663225), (21, 3.6337516), (1, 3.5413845), (2, 3.5400186), (15, 3.5190637), (32, 3.4982667), (30, 3.46302), (44, 3.4487326), (52, 3.3934934), (5, 3.3565984), (42, 3.3565025), (38, 3.3286376), (31, 3.294374), (39, 3.2863925), (26, 3.2848856), (18, 3.253356), (7, 3.1951308), (46, 3.1938097), (9, 3.1290479), (12, 3.1162035), (29, 3.0749629), (20, 3.0048776), (23, 2.9594417), (3, 2.9529564), (24, 2.9125683), (13, 2.8577936), (27, 2.788739), (53, 2.6299298), (51, 2.5828738), (50, 2.4476633), (43, 2.304195), (28, 2.2775087), (6, 2.1868434), (35, 2.1315508), (33, 2.0604448), (17, 1.548396), 
10, U Ẩm thực;U Đô thị;U Đồi núi;U Rừng;T Thắng cảnh;T Hồ sông suối;price:5: (36, 5.5674415), (8, 5.130164), (25, 5.126171), (45, 5.0833774), (14, 5.040341), (4, 4.9911237), (37, 4.9702487), (34, 4.806066), (10, 4.757806), (49, 4.6960797), (11, 4.685307), (21, 4.6070585), (16, 4.5798244), (18, 4.557321), (19, 4.5051074), (40, 4.4050937), (47, 4.389386), (22*, 4.3566146), (41, 4.3491397), (2, 4.309984), (44, 4.3016787), (42, 4.243227), (29, 4.242198), (32, 4.192854), (26, 4.1848364), (5, 4.154089), (30, 4.0966015), (52, 4.053327), (15, 4.051866), (31, 3.9898546), (46, 3.9403565), (7, 3.9120052), (38, 3.867854), (9, 3.7502306), (1, 3.7461865), (48, 3.7148986), (13, 3.6745327), (39, 3.6600327), (3, 3.6245296), (12, 3.5925431), (20, 3.5287323), (28, 3.4302819), (24, 3.4289327), (51, 3.3983526), (23, 3.3898091), (53, 3.1641986), (27, 3.0789676), (6, 2.9923246), (50, 2.9884164), (43, 2.938683), (35, 2.7886171), (33, 2.496415), (17, 2.0650604), 
13, U Tâm linh;U Tham quan;U Nông thôn;U Đồi núi;T Ẩm thực;T Giải trí;T Mạo hiểm;price:2;price:3;price:4: (14, 3.5821111), (24, 3.5505285), (53, 3.5396836), (8, 3.4384098), (40, 3.3359945), (30, 3.2841423), (36, 3.0416286), (1*, 2.9608185), (43, 2.9317353), (35, 2.8855777), (15, 2.8591194), (2, 2.8384738), (41, 2.836635), (23, 2.8095908), (16, 2.7654774), (52, 2.7623658), (32, 2.7384288), (25, 2.6822147), (7, 2.6186132), (48, 2.526744), (21, 2.493418), (44, 2.3867764), (37, 2.3634286), (9, 2.3091521), (19, 2.2621381), (20, 2.2487922), (10, 2.2425148), (18, 2.1910086), (39, 2.176573), (17, 2.155803), (46, 2.1330988), (49, 2.0663044), (42, 2.0480094), (51, 2.0226016), (26, 1.9735106), (4, 1.9414004), (33, 1.9325229), (45, 1.9010603), (31, 1.8931198), (11, 1.8817694), (22, 1.7611189), (34, 1.650897), (28, 1.6412294), (50, 1.5598952), (47, 1.5591173), (27, 1.5037453), (5, 1.3999294), (3, 1.247548), (13, 1.2112954), (38, 1.1705148), (12, 1.1313727), (6, 0.79584146), (29, 0.30421248), 
13, U Tâm linh;U Tham quan;U Nông thôn;U Đồi núi;T Tham quan;price:5: (24, 3.9270146), (40, 3.8691525), (53, 3.866319), (30*, 3.7221162), (14, 3.7165565), (15, 3.578702), (25, 3.3867843), (32, 3.37918), (35, 3.353894), (8, 3.348026), (23, 3.1723602), (16, 3.1645155), (7*, 3.0906363), (52, 3.0893135), (18, 3.0760522), (43, 3.0181532), (2, 2.9507987), (44, 2.8479905), (41, 2.8417425), (39, 2.7905457), (36, 2.7395988), (10, 2.7226717), (21, 2.691139), (47, 2.66556), (37, 2.6087089), (31, 2.5878403), (49, 2.5835192), (17, 2.5543215), (51, 2.5491033), (46, 2.5189905), (9, 2.4770327), (1, 2.4346085), (19, 2.43297), (42, 2.385952), (20, 2.3740046), (34, 2.3168168), (22, 2.307908), (26, 2.2994971), (11, 2.2516305), (48, 2.2234547), (33, 2.1438925), (45, 1.9268551), (4, 1.9242527), (13, 1.875789), (5, 1.8670692), (28, 1.8651655), (50, 1.7045113), (12, 1.6751823), (27, 1.578502), (3, 1.4499214), (6, 1.4139519), (38, 1.3667507), (29, 0.71648073), 
13, U Tâm linh;U Tham quan;U Nông thôn;U Đồi núi;T Tham quan;T Giải trí;price:1;price:2: (24, 4.400395), (14, 4.3608837), (53, 4.218429), (30, 4.0481935), (40, 3.749775), (8, 3.698418), (52, 3.6959147), (32, 3.6045249), (15, 3.5557592), (35, 3.5238528), (23, 3.5050623), (25, 3.4734108), (7, 3.413814), (43, 3.4115002), (2, 3.3595018), (36, 3.3294997), (16, 3.2752116), (44, 3.1954367), (41, 3.168571), (1, 3.1573544), (21, 3.1248906), (37, 3.0618374), (49*, 3.001352), (10, 2.9439194), (39, 2.9216194), (19, 2.8747344), (18, 2.8161407), (31, 2.7753522), (20, 2.7726085), (17, 2.6328833), (28, 2.6217408), (9, 2.6060324), (42, 2.5917356), (11, 2.5893912), (22, 2.5668368), (48, 2.566789), (33, 2.5568702), (46, 2.546728), (26, 2.4769504), (47, 2.3538659), (45, 2.3325715), (51, 2.3119237), (34, 2.174085), (3, 2.0863786), (13, 2.0584388), (50, 1.9951383), (4, 1.9804615), (27, 1.8664464), (5, 1.7929919), (38, 1.5062504), (12, 1.5045917), (6, 1.446488), (29, 0.77845037), 
13, U Tâm linh;U Tham quan;U Nông thôn;U Đồi núi;T Di tích;T Tham quan;T Nông thôn;price:1;price:2: (53, 5.027845), (14, 4.8597198), (24, 4.748119), (30, 4.691898), (40, 4.5622654), (8, 4.4690843), (52, 4.3833594), (32, 4.3749905), (25, 4.266256), (15, 4.2464995), (2, 3.9938493), (44, 3.9335675), (23, 3.910044), (16, 3.903982), (43, 3.7988927), (7, 3.7790055), (37, 3.7323475), (41, 3.6994762), (21, 3.6990886), (49, 3.6873002), (19, 3.637017), (35, 3.582496), (1, 3.494917), (36, 3.4389112), (10, 3.4224257), (39, 3.4136355), (48, 3.398893), (9, 3.3745253), (22, 3.363762), (17, 3.3197584), (20, 3.293284), (18*, 3.2744265), (11, 3.2505038), (46, 3.2183907), (28, 3.188255), (33, 3.14036), (42, 3.1392488), (31, 3.1094716), (47, 3.0193682), (26, 2.9743996), (51, 2.8840716), (45, 2.8122656), (34, 2.782034), (4, 2.7785974), (13, 2.7776227), (50, 2.7111108), (3, 2.6280828), (5, 2.5507386), (12, 2.393351), (27, 2.3596077), (38, 2.1592138), (6, 1.8699995), (29, 1.130531), 
15, U Tham quan;U Ẩm thực;U Giải trí;U Mạo hiểm;U Đô thị;U Nông thôn;U Đồi núi;U Rừng;T Ẩm thực;T Giải trí;T Mạo hiểm;price:2;price:3;price:4: (36, 5.9393806), (8, 5.1162815), (25, 4.7819), (37, 4.7007494), (45, 4.631494), (2, 4.4753804), (32, 4.157675), (52, 4.1480527), (14, 4.1058598), (15, 4.062354), (40, 3.9831595), (4, 3.982272), (34, 3.9749844), (16, 3.8276305), (10, 3.7121522), (22, 3.616773), (7, 3.5353587), (41, 3.5083728), (19, 3.4318042), (1*, 3.3494062), (24, 3.2750993), (21, 3.2739055), (28, 3.2542179), (44, 3.0726361), (9, 2.9950767), (31, 2.9764307), (49, 2.9403284), (26, 2.9351308), (42, 2.9226947), (23, 2.803777), (30, 2.77798), (5, 2.7021477), (3, 2.6852207), (12, 2.6265035), (51, 2.618754), (46, 2.5768595), (50, 2.5249853), (18, 2.5191224), (48, 2.4693642), (47, 2.417706), (43, 2.412163), (20, 2.3206413), (11, 2.188068), (35, 2.122909), (53, 2.0329356), (39, 1.9039204), (29, 1.7942733), (38, 1.7776217), (13, 1.719832), (27, 1.6571707), (33, 1.3704152), (17, 0.7493939), (6, 0.65960747), 
15, U Tham quan;U Ẩm thực;U Giải trí;U Mạo hiểm;U Đô thị;U Nông thôn;U Đồi núi;U Rừng;T Tham quan;T Giải trí;price:1;price:2: (36, 6.350546), (25, 5.69639), (37, 5.522452), (8, 5.4995837), (52, 5.2048955), (45, 5.1862993), (32, 5.1470647), (2, 5.1197023), (14, 5.0079265), (15, 4.8822875), (34, 4.621466), (22, 4.5457845), (10, 4.536851), (40, 4.520234), (16, 4.4606586), (7, 4.453853), (28, 4.358023), (24, 4.248259), (19, 4.167694), (4, 4.144627), (21, 4.028672), (44, 4.0045905), (49*, 3.99867), (31, 3.981957), (41, 3.9636028), (1, 3.669236), (30, 3.6653252), (3, 3.647345), (23, 3.6225426), (42, 3.589715), (26, 3.5618644), (9, 3.415251), (47, 3.3357484), (18, 3.267548), (5, 3.2185042), (12, 3.1230164), (46, 3.1137824), (50, 3.0835223), (51, 3.0313702), (11, 3.0189836), (43, 3.0152218), (20, 2.9677515), (35, 2.8844783), (53, 2.834975), (39, 2.7722607), (13, 2.6902692), (48, 2.632703), (29, 2.3918052), (38, 2.2366512), (27, 2.1431656), (33, 2.1180565), (6, 1.4335479), (17, 1.3497679), 
