# userId: recommendations in (itemId, ranking score) pairs, where a correct recommendation is denoted by symbol *.
4, U Nghỉ dưỡng;U Hồ sông suối;T Tham quan;T Giải trí;price:1;price:2: (30, 3.7619727), (16, 3.6185668), (21, 3.5961597), (53, 3.5719635), (38, 3.3184092), (28, 3.3080807), (20, 3.2809377), (37, 3.2623062), (48, 3.239396), (40, 3.1607847), (46, 3.1507576), (39, 3.0644786), (34, 3.0614038), (2, 3.0595474), (11, 3.0263174), (5, 3.0231197), (44, 2.9909205), (15, 2.9799187), (14, 2.959027), (26, 2.9503863), (1, 2.9496973), (10, 2.921682), (41, 2.9043512), (43, 2.8440692), (25, 2.8263388), (23, 2.8155897), (8, 2.7967825), (27, 2.746698), (22, 2.7466137), (52, 2.7426224), (12, 2.6877253), (4, 2.6857822), (19, 2.594178), (29, 2.576164), (50, 2.5665715), (45, 2.5458379), (24, 2.5118706), (3, 2.4701493), (13, 2.3967571), (42, 2.3658524)
4, U Nghỉ dưỡng;U Hồ sông suối;T Thắng cảnh;price:3: (30, 4.3227806), (53, 4.09726), (20, 4.0877724), (46, 4.0758953), (40, 3.9998114), (48, 3.9438608), (21, 3.9114187), (10, 3.907594), (16, 3.8766634), (15, 3.7639804), (25, 3.7217884), (28, 3.703752), (39, 3.6017094), (38, 3.5918531), (5, 3.58613), (44, 3.5383422), (37, 3.4800313), (27, 3.4668484), (29, 3.4618702), (26, 3.433589), (34, 3.4262226), (11, 3.4157715), (2, 3.414788), (43, 3.3893962), (8, 3.3792093), (41, 3.290304), (14, 3.287904), (1, 3.2170591), (18, 3.204105), (52, 3.192827), (13, 3.1523025), (4, 3.047145), (50, 3.0094962), (3, 2.9451175), (7, 2.927542), (35, 2.9196672), (23, 2.9116468), (12, 2.8919556), (19, 2.8873818), (42, 2.861807)
4, U Nghỉ dưỡng;U Hồ sông suối;T Ẩm thực;price:2;price:3: (30, 3.9231765), (53, 3.8730824), (20, 3.7632692), (21, 3.686738), (46, 3.6685195), (48, 3.5924697), (37, 3.5636272), (16, 3.5465972), (28, 3.5272503), (11, 3.500611), (10, 3.4845636), (38, 3.4039176), (5, 3.3520997), (15, 3.3368957), (43, 3.3310049), (40, 3.3299015), (25, 3.3086517), (44, 3.2494795), (2, 3.2119164), (1, 3.19035), (8, 3.1720665), (39, 3.154665), (27, 3.149279), (14, 3.1326087), (26, 3.1271122), (34, 3.1106443), (24, 3.02782), (23, 2.958933), (29, 2.9580433), (52, 2.8904848), (41, 2.8639574), (12, 2.776681), (13, 2.7285144), (4, 2.7254958), (22, 2.7023933), (42, 2.694869), (18, 2.6549547), (19, 2.6279752), (3, 2.585208), (50, 2.5806413)
4, U Nghỉ dưỡng;U Hồ sông suối;T Giải trí;T Nghỉ dưỡng;T Biển;price:4;price:5: (30, 5.4730887), (16, 5.2139244), (48, 5.141658), (53, 5.119536), (26, 5.109854), (46, 4.9925823), (40, 4.9434323), (44, 4.932539), (20, 4.9196353), (27, 4.883068), (15, 4.8822794), (29, 4.8469505), (21, 4.8334594), (38, 4.8019814), (5, 4.785468), (25, 4.7843666), (28, 4.783569), (34, 4.7807064), (10, 4.7470727), (45*, 4.7438297), (39, 4.739281), (11, 4.715492), (37, 4.7035556), (14, 4.614325), (13, 4.5827165), (41, 4.561999), (1, 4.5002146), (43, 4.4602027), (2, 4.401286), (8, 4.3960476), (4, 4.3301487), (12, 4.166143), (18, 4.1613007), (35, 4.093505), (7, 4.06727), (24, 4.0382366), (47, 4.0358415), (6, 4.0186605), (17, 4.0083575), (22, 4.000901)
10, U Ẩm thực;U Đô thị;U Đồi núi;U Rừng;T Biển;price:5: (4*, 5.157747), (36, 5.1546335), (25, 5.075336), (14, 4.954514), (8, 4.894239), (24, 4.7444334), (16, 4.5972843), (15, 4.581415), (29, 4.5554833), (51, 4.501331), (2, 4.4687614), (34, 4.449456), (37, 4.3691125), (21, 4.3670707), (48, 4.352824), (41, 4.2630563), (28, 4.1569595), (44, 4.1259704), (47, 4.078199), (39, 4.0495653), (7, 3.9755363), (40, 3.9445229), (9, 3.913331), (19, 3.83106), (10, 3.8206387), (49, 3.811726), (31, 3.7634103), (20, 3.7361736), (42, 3.7266693), (32, 3.7197573), (11, 3.6993337), (12, 3.6749773), (30, 3.599809), (26, 3.5870187), (53, 3.5742686), (45, 3.4242747), (18, 3.3115597), (1, 3.2766817), (23, 3.2517538), (5, 3.2510455)
10, U Ẩm thực;U Đô thị;U Đồi núi;U Rừng;T Tham quan;T Đồi núi;price:5: (4, 5.5272684), (36, 5.401923), (16, 5.171228), (25, 4.97676), (8, 4.9509907), (24*, 4.9275093), (51, 4.8560853), (14, 4.785811), (34, 4.7641854), (48, 4.7493773), (21, 4.7395372), (15, 4.7251163), (29, 4.6955094), (2, 4.670496), (41, 4.560414), (39, 4.5515885), (28, 4.4423447), (37, 4.4231977), (40, 4.3419714), (19, 4.1975083), (47, 4.176345), (44, 4.1083927), (32, 4.1028905), (7, 4.0954533), (9, 4.076662), (12, 4.0555844), (11, 4.0474825), (49, 4.005373), (10, 3.9853747), (20, 3.9688785), (30, 3.8702276), (26, 3.8254435), (31, 3.7569122), (42, 3.7417302), (23, 3.7332315), (53, 3.637319), (45, 3.5294802), (5, 3.5118582), (18, 3.5097308), (1, 3.422497)
10, U Ẩm thực;U Đô thị;U Đồi núi;U Rừng;T Tham quan;price:5: (4, 5.577648), (36, 5.4131837), (25, 5.0617056), (14, 4.9981146), (8, 4.95356), (24, 4.905151), (34, 4.6988673), (51, 4.6785555), (48, 4.6614423), (21, 4.634286), (2, 4.573465), (15, 4.5585136), (29, 4.545537), (41, 4.4935646), (39, 4.4735637), (37, 4.467363), (28, 4.383064), (40, 4.296109), (44, 4.2558722), (47, 4.193051), (7, 4.1442204), (19, 4.105267), (20, 4.0488753), (32, 4.03125), (9, 4.029848), (49, 4.003966), (42, 3.9617424), (11*, 3.9590774), (10, 3.8667967), (31, 3.8444927), (30, 3.8372238), (23, 3.7346172), (26, 3.7234185), (1, 3.6293454), (53, 3.615371), (45, 3.5691333), (18, 3.5388117), (5, 3.448851), (46, 3.349984), (52, 3.3073595)
10, U Ẩm thực;U Đô thị;U Đồi núi;U Rừng;T Ẩm thực;price:1;price:2: (36, 5.0610676), (4, 4.8336477), (8, 4.8103037), (14, 4.613075), (24, 4.557851), (25, 4.525088), (2, 4.313344), (37, 4.2829294), (48, 4.1993213), (21, 4.1199455), (51, 4.097864), (16, 3.9151428), (28, 3.895719), (49, 3.891602), (34, 3.8894002), (19, 3.8009117), (41, 3.7799964), (44, 3.7621317), (15, 3.7540512), (9, 3.7193735), (42, 3.6302848), (39*, 3.6067176), (7, 3.5594776), (29, 3.5513186), (11, 3.5512106), (1, 3.5081117), (23, 3.4925132), (32, 3.4038918), (53, 3.3839445), (12, 3.3471825), (10, 3.337338), (31, 3.218557), (20, 3.1901104), (40, 3.1879947), (52, 3.0148578), (47, 3.0056105), (5, 2.9982169), (30, 2.9493165), (50, 2.849007), (26, 2.80887)
13, U Tâm linh;U Tham quan;U Nông thôn;U Đồi núi;T Thắng cảnh;T Ẩm thực;T Giải trí;T Biển;price:1;price:2: (7, 4.1559253), (53, 3.9999037), (37, 3.8777585), (34, 3.8681948), (52, 3.8681092), (24, 3.8608916), (49, 3.770119), (43, 3.61165), (14*, 3.6004965), (23, 3.4669156), (10, 3.3968127), (41, 3.3960464), (21, 3.341093), (28, 3.248788), (32, 3.1488297), (8, 3.1235616), (35, 3.094981), (1, 3.0626824), (25, 3.0506597), (17, 2.983121), (51, 2.898857), (15, 2.8826542), (40, 2.8779368), (2, 2.787228), (46, 2.7810402), (36, 2.7775807), (4, 2.7537367), (19, 2.7257876), (44, 2.6253307), (16, 2.5047848), (12, 2.3279042), (48, 2.2345197), (9, 2.1460745), (18, 2.0329125), (42, 2.0022507), (30, 1.9923077), (5, 1.8880138), (11, 1.8648193), (26, 1.8325037), (47, 1.7875556)
13, U Tâm linh;U Tham quan;U Nông thôn;U Đồi núi;T Giải trí;T Nghỉ dưỡng;T Biển;price:4;price:5: (7, 5.595225), (34, 5.3738556), (24, 4.9464025), (53, 4.8355575), (37, 4.765532), (41, 4.6151934), (17, 4.6112933), (43, 4.573257), (52, 4.5134273), (14, 4.504221), (10, 4.4457145), (35, 4.4324083), (49, 4.4073424), (32, 4.3859015), (28, 4.296177), (15, 4.2766156), (40, 4.2603164), (23, 4.1419396), (8, 4.138955), (51, 4.1363297), (25, 4.113248), (46, 4.082478), (21, 4.0727553), (4, 4.069216), (1, 4.019884), (44, 3.9754813), (16, 3.973748), (48, 3.8107429), (26, 3.71755), (2, 3.6708996), (36, 3.5872965), (18, 3.5634909), (12, 3.5547895), (47, 3.4946053), (19, 3.4805143), (45*, 3.399625), (30, 3.265062), (5, 3.2105656), (11, 3.1909869), (31, 3.171231)
