User, Item, Rating, partner:5, partner:1, partner:4, partner:6, partner:3, partner:2, time:2, time:1, time:4, time:3
6,8,5,0,1,0,0,0,0,0,0,0,1
18,15,4,1,0,0,0,0,0,0,0,0,1
7,28,5,0,0,0,0,1,0,0,1,0,0
12,6,5,0,0,0,1,0,0,0,1,0,0
8,30,4,0,1,0,0,0,0,0,0,1,0
14,21,4,0,0,0,1,0,0,1,0,0,0
4,33,3,0,0,0,0,0,1,0,1,0,0
20,7,3,0,1,0,0,0,0,0,1,0,0
10,20,3,0,1,0,0,0,0,1,0,0,0
6,8,4,0,0,0,0,1,0,1,0,0,0
9,29,4,1,0,0,0,0,0,0,0,1,0
10,30,3,1,0,0,0,0,0,0,1,0,0
13,8,5,0,0,1,0,0,0,1,0,0,0
20,10,3,1,0,0,0,0,0,0,0,0,1
17,20,5,0,0,1,0,0,0,0,0,1,0
8,29,4,0,0,0,0,0,1,1,0,0,0
19,30,3,0,0,0,0,1,0,0,1,0,0
7,10,4,0,0,0,1,0,0,0,0,0,1
20,15,4,0,0,0,0,0,1,0,1,0,0
11,16,5,1,0,0,0,0,0,0,0,0,1
14,13,5,0,0,0,0,0,1,0,1,0,0
20,17,4,0,0,1,0,0,0,1,0,0,0
3,1,4,0,1,0,0,0,0,0,0,0,1
10,26,5,0,0,0,1,0,0,0,0,1,0
17,15,4,0,1,0,0,0,0,0,0,1,0
17,23,5,0,1,0,0,0,0,1,0,0,0
6,15,4,0,1,0,0,0,0,0,1,0,0
11,33,5,0,1,0,0,0,0,0,0,0,1
4,2,5,0,0,0,0,1,0,0,1,0,0
4,16,4,0,0,1,0,0,0,0,0,1,0
16,8,5,1,0,0,0,0,0,0,1,0,0
2,31,5,0,0,1,0,0,0,0,1,0,0
3,3,4,0,0,1,0,0,0,0,1,0,0
13,10,4,0,0,0,1,0,0,1,0,0,0
7,7,4,1,0,0,0,0,0,1,0,0,0
12,2,2,0,0,0,1,0,0,0,0,0,1
9,22,4,0,0,0,0,1,0,1,0,0,0
14,32,5,0,0,0,0,0,1,1,0,0,0
18,7,5,0,0,0,0,0,1,1,0,0,0
14,11,3,0,0,0,0,1,0,0,0,1,0
17,7,5,1,0,0,0,0,0,0,0,0,1
17,19,5,0,0,0,1,0,0,0,0,1,0
1,13,3,0,1,0,0,0,0,0,0,1,0
18,26,4,0,1,0,0,0,0,1,0,0,0
8,24,4,0,0,0,0,0,1,1,0,0,0
9,29,4,0,0,0,1,0,0,0,1,0,0
6,17,5,0,0,0,0,1,0,0,1,0,0
15,22,5,0,1,0,0,0,0,0,0,0,1
20,6,5,0,0,0,0,0,1,0,1,0,0
8,11,3,0,0,0,1,0,0,0,0,1,0
15,32,5,0,0,0,0,1,0,1,0,0,0
8,15,5,1,0,0,0,0,0,0,0,0,1
2,32,4,0,1,0,0,0,0,0,1,0,0
8,15,5,1,0,0,0,0,0,0,0,1,0
11,20,4,0,0,0,0,1,0,0,0,0,1
11,33,5,0,0,0,0,0,1,1,0,0,0
4,2,5,0,0,0,0,0,1,0,1,0,0
15,16,4,0,0,0,1,0,0,0,1,0,0
1,2,3,0,0,0,1,0,0,0,0,1,0
9,1,3,0,0,0,1,0,0,1,0,0,0
17,15,3,0,0,0,0,0,1,0,1,0,0
20,17,5,0,0,0,0,1,0,0,0,0,1
12,31,4,0,0,1,0,0,0,0,0,1,0
10,3,5,0,0,0,0,0,1,0,0,0,1
2,17,5,1,0,0,0,0,0,0,0,1,0
10,30,4,0,1,0,0,0,0,1,0,0,0
8,32,4,0,0,0,1,0,0,0,0,1,0
1,7,4,0,1,0,0,0,0,1,0,0,0
2,10,4,0,0,0,0,1,0,0,0,0,1
13,10,4,0,0,0,0,1,0,0,0,0,1
10,19,3,0,0,1,0,0,0,0,1,0,0
16,17,5,0,1,0,0,0,0,0,1,0,0
5,27,5,0,1,0,0,0,0,1,0,0,0
5,2,4,0,0,0,0,0,1,0,0,0,1
16,19,4,0,0,0,0,0,1,0,0,0,1
14,32,4,0,1,0,0,0,0,0,0,0,1
20,28,5,0,0,0,0,0,1,0,1,0,0
7,15,4,0,0,0,0,1,0,0,1,0,0
11,5,5,0,0,1,0,0,0,0,0,1,0
2,23,5,0,1,0,0,0,0,0,0,1,0
1,7,4,0,1,0,0,0,0,0,0,0,1
12,25,5,1,0,0,0,0,0,0,0,0,1
7,13,5,0,0,0,0,0,1,0,1,0,0
14,27,3,0,0,0,0,1,0,0,0,0,1
16,6,5,0,0,1,0,0,0,0,0,1,0
19,27,2,0,0,0,0,0,1,0,0,1,0
13,26,5,0,1,0,0,0,0,1,0,0,0
18,29,3,0,0,0,0,0,1,1,0,0,0
17,1,4,0,1,0,0,0,0,1,0,0,0
7,21,4,1,0,0,0,0,0,0,0,0,1
4,2,5,1,0,0,0,0,0,0,0,0,1
7,23,3,0,0,0,1,0,0,0,0,0,1
20,4,4,1,0,0,0,0,0,0,0,0,1
16,1,3,0,0,0,1,0,0,0,0,1,0
11,12,5,0,0,0,0,0,1,0,0,0,1
15,26,5,0,0,1,0,0,0,0,1,0,0
8,8,5,0,0,1,0,0,0,0,0,1,0
9,32,5,0,0,0,0,0,1,1,0,0,0
19,10,5,0,0,1,0,0,0,0,0,0,1
6,12,5,0,0,0,0,0,1,0,0,0,1
5,9,3,0,1,0,0,0,0,0,0,1,0
14,3,4,0,0,0,0,1,0,0,0,0,1
7,6,5,0,0,0,1,0,0,0,0,1,0
11,26,5,0,0,0,1,0,0,0,1,0,0
20,19,5,0,0,0,1,0,0,0,0,1,0
11,20,3,0,0,0,1,0,0,1,0,0,0
13,16,4,0,1,0,0,0,0,0,1,0,0
6,31,4,0,1,0,0,0,0,0,0,0,1
7,6,3,0,1,0,0,0,0,0,1,0,0
14,29,3,1,0,0,0,0,0,0,0,1,0
8,28,4,0,0,0,1,0,0,0,1,0,0
17,20,4,0,0,0,1,0,0,0,1,0,0
3,18,5,1,0,0,0,0,0,0,1,0,0
6,10,4,0,0,0,0,1,0,0,0,0,1
7,2,5,0,0,0,0,1,0,1,0,0,0
20,6,5,0,0,1,0,0,0,0,0,1,0
4,12,4,0,1,0,0,0,0,0,0,0,1
10,29,5,0,0,0,0,1,0,0,0,1,0
4,8,4,0,1,0,0,0,0,1,0,0,0
15,7,4,0,0,0,0,0,1,0,0,0,1
20,12,4,0,0,1,0,0,0,1,0,0,0
2,24,4,0,0,0,0,0,1,0,1,0,0
13,24,4,0,0,0,0,0,1,0,1,0,0
11,33,3,0,0,0,0,1,0,0,1,0,0
5,33,4,1,0,0,0,0,0,1,0,0,0
16,1,4,0,0,0,0,1,0,1,0,0,0
2,10,3,0,0,0,1,0,0,0,1,0,0
6,20,5,0,0,1,0,0,0,0,0,0,1
4,8,3,0,0,0,0,1,0,1,0,0,0
3,27,3,0,0,0,0,1,0,1,0,0,0
20,14,4,1,0,0,0,0,0,0,0,1,0
8,2,4,0,0,0,0,0,1,0,0,1,0
15,3,3,0,1,0,0,0,0,1,0,0,0
16,25,5,0,0,0,0,0,1,1,0,0,0
16,17,4,0,0,0,0,0,1,0,1,0,0
10,27,3,1,0,0,0,0,0,0,1,0,0
17,1,3,0,0,0,1,0,0,0,1,0,0
11,13,3,0,1,0,0,0,0,0,0,1,0
6,21,3,0,0,0,1,0,0,0,0,0,1
13,29,4,0,0,0,0,0,1,0,0,0,1
4,13,5,0,0,0,0,0,1,0,0,0,1
17,14,4,0,0,1,0,0,0,1,0,0,0
2,9,4,1,0,0,0,0,0,0,1,0,0
11,16,4,0,0,0,0,1,0,1,0,0,0
19,28,5,0,0,0,0,0,1,0,1,0,0
4,14,5,0,0,0,0,1,0,0,0,0,1
14,13,4,0,1,0,0,0,0,0,0,1,0
15,15,5,1,0,0,0,0,0,1,0,0,0
16,20,3,0,1,0,0,0,0,1,0,0,0
1,14,5,0,1,0,0,0,0,1,0,0,0
2,2,5,0,1,0,0,0,0,0,1,0,0
12,7,4,0,0,0,1,0,0,1,0,0,0
17,15,4,0,0,0,1,0,0,1,0,0,0
14,27,3,1,0,0,0,0,0,1,0,0,0
1,5,5,0,0,0,0,0,1,0,0,1,0
3,29,4,1,0,0,0,0,0,0,1,0,0
3,23,5,0,0,0,0,0,1,0,0,1,0
17,20,4,0,0,0,0,1,0,0,0,1,0
11,31,5,0,1,0,0,0,0,0,1,0,0
1,4,5,0,1,0,0,0,0,0,1,0,0
17,27,4,0,0,1,0,0,0,1,0,0,0
