user,item,ranking,partner,time
1,20,4,5,2
1,30,4,1,1
1,11,4,5,4
1,32,3,5,4
1,6,4,4,1
1,2,3,6,4
1,13,4,3,1
1,17,4,6,2
1,4,4,5,4
1,25,5,5,3
1,7,4,1,3
1,1,4,1,4
1,22,4,1,3
1,24,4,2,1
1,19,5,1,2
1,31,3,3,2
1,13,3,1,4
1,1,5,5,1
1,32,4,5,1
1,4,5,1,1
1,5,5,2,4
1,29,4,2,1
1,7,4,1,2
1,10,4,5,4
1,14,5,1,2
1,26,3,5,1
1,32,3,3,4
1,32,3,4,4
1,9,3,1,1
1,28,4,5,4
2,23,4,5,2
2,31,5,4,1
2,19,5,2,4
2,8,3,1,2
2,17,5,5,4
2,33,5,6,1
2,20,5,4,4
2,18,4,6,4
2,12,3,2,2
2,11,4,6,1
2,1,3,3,4
2,20,4,5,4
2,30,5,6,2
2,21,4,4,3
2,10,3,6,1
2,32,4,1,1
2,30,3,5,4
2,13,4,5,4
2,10,4,3,3
2,9,4,5,1
2,20,5,2,1
2,22,4,5,3
2,21,4,6,3
2,2,5,1,1
2,16,4,3,4
2,15,3,1,1
2,23,5,1,4
2,18,4,3,2
2,22,4,6,4
2,24,4,2,1
3,4,5,6,3
3,2,5,4,1
3,10,4,2,4
3,23,4,2,1
3,4,5,2,2
3,20,5,5,4
3,23,5,3,2
3,24,4,4,1
3,29,4,5,1
3,1,5,5,3
3,25,5,1,3
3,5,5,5,4
3,18,5,5,1
3,3,4,4,1
3,14,4,5,4
3,32,4,6,4
3,15,3,6,3
3,27,5,4,2
3,15,4,2,4
3,14,4,6,4
3,26,3,2,4
3,1,4,1,3
3,23,5,2,4
3,9,4,5,2
3,8,3,3,3
3,28,3,3,4
3,27,3,3,2
3,22,5,2,4
3,16,5,2,1
3,26,5,6,3
4,2,5,2,1
4,5,5,2,3
4,11,5,2,3
4,33,3,2,1
4,25,5,1,3
4,13,4,5,4
4,19,4,6,2
4,8,3,3,2
4,26,3,5,2
4,31,4,3,1
4,9,3,4,2
4,29,5,4,4
4,4,5,3,2
4,13,5,2,3
4,12,4,1,3
4,2,5,3,1
4,26,3,2,4
4,25,5,4,2
4,9,4,1,3
4,8,4,1,2
4,16,4,4,4
4,2,5,5,3
4,1,5,4,1
4,14,5,3,3
4,33,5,1,3
4,15,5,5,2
4,16,4,6,1
4,2,4,3,4
4,19,5,2,3
4,20,5,4,1
5,7,4,5,1
5,15,5,5,4
5,28,5,1,1
5,8,4,1,3
5,3,4,2,2
5,18,3,3,3
5,3,3,3,4
5,7,5,5,2
5,27,5,1,2
5,11,3,6,4
5,33,4,5,2
5,10,5,4,3
5,3,4,1,1
5,29,3,5,4
5,10,4,2,3
5,21,5,3,1
5,28,5,1,4
5,33,4,1,1
5,2,4,2,3
5,32,5,2,2
5,9,3,1,4
5,13,4,6,1
5,28,3,2,4
5,17,5,2,2
5,8,4,3,1
5,7,5,3,1
5,22,3,3,3
5,33,4,2,3
5,28,5,1,2
5,7,3,6,4
6,7,4,4,1
6,4,5,2,1
6,9,5,3,2
6,29,5,1,3
6,21,3,6,3
6,12,5,2,3
6,9,4,4,2
6,33,5,6,2
6,31,4,1,3
6,13,5,5,2
6,1,5,5,3
6,20,5,4,3
6,9,4,4,2
6,10,4,3,3
6,21,4,3,2
6,25,5,2,3
6,5,5,1,3
6,7,3,1,1
6,8,4,3,2
6,30,4,4,4
6,15,4,1,1
6,28,5,3,2
6,8,5,1,3
6,8,5,4,1
6,20,5,4,3
6,17,5,3,1
6,29,5,4,4
6,25,5,1,3
6,9,4,1,1
6,21,5,1,2
7,2,5,3,2
7,16,4,2,2
7,17,4,4,3
7,23,3,6,3
7,18,4,5,3
7,9,3,2,3
7,12,4,2,2
7,16,4,4,1
7,3,3,3,4
7,13,5,2,1
7,4,4,3,3
7,19,3,4,4
7,4,3,6,4
7,3,3,3,1
7,24,5,5,4
7,6,5,6,4
7,21,4,5,3
7,32,4,5,2
7,20,4,5,4
7,7,4,5,2
7,14,4,2,4
7,24,5,5,4
7,4,3,5,1
7,3,5,2,1
7,31,4,1,2
7,14,4,2,4
7,15,4,3,1
7,28,5,3,1
7,6,3,1,1
7,10,4,6,3
8,31,5,3,1
8,33,3,4,4
8,24,4,2,2
8,20,4,3,4
8,13,5,2,4
8,28,4,6,1
8,29,4,2,2
8,5,5,2,4
8,5,4,6,4
8,8,5,4,4
8,15,5,5,3
8,32,4,6,4
8,2,4,2,4
8,12,4,4,2
8,11,3,6,4
8,11,4,5,2
8,12,4,3,3
8,15,5,5,4
8,16,5,5,1
8,19,5,1,3
8,17,3,6,1
8,12,4,2,4
8,22,3,6,4
8,1,4,1,1
8,16,5,5,3
8,5,3,6,1
8,12,5,2,1
8,30,4,1,4
8,16,5,5,1
8,14,4,4,4
9,2,5,1,1
9,17,5,4,2
9,32,5,2,2
9,9,5,3,2
9,6,5,3,4
9,3,3,4,4
9,13,5,2,4
9,29,4,5,4
9,10,4,6,1
9,6,5,2,2
9,8,5,4,1
9,23,3,6,3
9,28,4,4,1
9,25,4,6,3
9,22,4,3,2
9,2,4,1,4
9,7,4,2,4
9,20,5,4,2
9,1,3,6,2
9,28,4,3,3
9,9,4,4,4
9,16,3,1,2
9,29,4,6,1
9,19,5,2,3
9,28,4,4,4
9,15,3,6,3
9,27,5,6,3
9,17,5,4,4
9,10,5,1,1
9,18,4,6,1
10,2,5,1,3
