[INFO ] 2019-04-20 15:55:02,877 -- WorkingPath: ./CARSKit.Workspace/
[INFO ] 2019-04-20 15:55:02,883 -- Your original rating data path: ./result.csv
[INFO ] 2019-04-20 15:55:02,883 -- Current working path: ./CARSKit.Workspace/
[WARN ] 2019-04-20 15:55:02,885 -- You rating data is in Compact format. CARSKit is working on transformation on the data format...
[INFO ] 2019-04-20 15:55:02,904 -- User, Item, Rating, start:đà nẵng, start:hà nội, start:hồ chí minh, price:cheap, price:expensive, price:reasonable, date:weekday, date:weekend, duration:3, duration:5, :na
[INFO ] 2019-04-20 15:55:02,919 -- Data transformaton completed (from Compact to Binary format). See new rating file: ./CARSKit.Workspace/train.csv
[INFO ] 2019-04-20 15:55:02,931 -- Dataset: ./CARSKit.Workspace/train.csv
[INFO ] 2019-04-20 15:55:02,933 -- DataPath: ./CARSKit.Workspace/train.csv
[INFO ] 2019-04-20 15:55:02,967 -- Rating data set has been successfully loaded.
[INFO ] 2019-04-20 15:55:02,970 -- 
/***********************************************************************
 *
 * Dataset: ./CARSKit.Workspace/train.csv
 * 
 * Statistics of U-I-C Matrix:
 * User amount: 102
 * Item amount: 30
 * Rate amount: 579
 * Context dimensions: 5 (start, price, date, duration, )
 * Context conditions: 11 (start: 3, price: 3, date: 2, duration: 2, : 1)
 * Context situations: 16
 * Data density: 0.5256%
 * Scale distribution: [4.0 x 108, 4.5 x 361, 3.5 x 110]
 * Average value of all ratings: 4.216753
 * Standard deviation of all ratings: 0.395457
 * Mode of all rating values: 4.500000
 * Median of all rating values: 4.500000
 *
 ***********************************************************************/
[INFO ] 2019-04-20 15:55:02,972 -- With Setup: cv -k 5 -p on --rand-seed 1 --test-view all
[DEBUG] 2019-04-20 15:55:02,976 -- Fold [1]: training amount: 463, test amount: 116
[DEBUG] 2019-04-20 15:55:02,978 -- Fold [2]: training amount: 463, test amount: 116
[DEBUG] 2019-04-20 15:55:02,979 -- Fold [3]: training amount: 463, test amount: 116
[DEBUG] 2019-04-20 15:55:02,980 -- Fold [4]: training amount: 463, test amount: 116
[DEBUG] 2019-04-20 15:55:02,982 -- Fold [5]: training amount: 464, test amount: 115
[DEBUG] 2019-04-20 15:55:02,994 -- CAMF_CU fold [3] iter 1: loss = 977.5124, delta_loss = -977.5124, learn_rate = 0.02
[DEBUG] 2019-04-20 15:55:02,994 -- CAMF_CU fold [4] iter 1: loss = 1004.1752, delta_loss = -1004.1752, learn_rate = 0.02
[DEBUG] 2019-04-20 15:55:02,995 -- CAMF_CU fold [2] iter 1: loss = 997.7768, delta_loss = -997.7768, learn_rate = 0.02
[DEBUG] 2019-04-20 15:55:03,002 -- CAMF_CU fold [1] iter 1: loss = 990.1958, delta_loss = -990.1958, learn_rate = 0.02
[DEBUG] 2019-04-20 15:55:03,003 -- CAMF_CU fold [4] iter 2: loss = 278.51627, delta_loss = 725.6589, learn_rate = 0.02
[DEBUG] 2019-04-20 15:55:03,003 -- CAMF_CU fold [5] iter 1: loss = 993.42615, delta_loss = -993.42615, learn_rate = 0.02
[DEBUG] 2019-04-20 15:55:03,007 -- CAMF_CU fold [2] iter 2: loss = 300.42688, delta_loss = 697.3499, learn_rate = 0.02
[DEBUG] 2019-04-20 15:55:03,009 -- CAMF_CU fold [1] iter 2: loss = 279.392, delta_loss = 710.8038, learn_rate = 0.02
[DEBUG] 2019-04-20 15:55:03,010 -- CAMF_CU fold [5] iter 2: loss = 293.59354, delta_loss = 699.8326, learn_rate = 0.02
[DEBUG] 2019-04-20 15:55:03,015 -- CAMF_CU fold [1] iter 3: loss = 102.56537, delta_loss = 176.82663, learn_rate = 0.021
[DEBUG] 2019-04-20 15:55:03,017 -- CAMF_CU fold [3] iter 2: loss = 282.0813, delta_loss = 695.4311, learn_rate = 0.02
[DEBUG] 2019-04-20 15:55:03,017 -- CAMF_CU fold [5] iter 3: loss = 112.107895, delta_loss = 181.48564, learn_rate = 0.021
[DEBUG] 2019-04-20 15:55:03,020 -- CAMF_CU fold [2] iter 3: loss = 118.36873, delta_loss = 182.05815, learn_rate = 0.021
[DEBUG] 2019-04-20 15:55:03,024 -- CAMF_CU fold [3] iter 3: loss = 107.140594, delta_loss = 174.9407, learn_rate = 0.021
[DEBUG] 2019-04-20 15:55:03,024 -- CAMF_CU fold [5] iter 4: loss = 55.034733, delta_loss = 57.073166, learn_rate = 0.022049999
[DEBUG] 2019-04-20 15:55:03,027 -- CAMF_CU fold [2] iter 4: loss = 59.832016, delta_loss = 58.536713, learn_rate = 0.022049999
[DEBUG] 2019-04-20 15:55:03,031 -- CAMF_CU fold [5] iter 5: loss = 33.11197, delta_loss = 21.922762, learn_rate = 0.0231525
[DEBUG] 2019-04-20 15:55:03,032 -- CAMF_CU fold [4] iter 3: loss = 100.93985, delta_loss = 177.57643, learn_rate = 0.021
[DEBUG] 2019-04-20 15:55:03,033 -- CAMF_CU fold [3] iter 4: loss = 53.69074, delta_loss = 53.449856, learn_rate = 0.022049999
[DEBUG] 2019-04-20 15:55:03,037 -- CAMF_CU fold [2] iter 5: loss = 36.50431, delta_loss = 23.327705, learn_rate = 0.0231525
[DEBUG] 2019-04-20 15:55:03,038 -- CAMF_CU fold [5] iter 6: loss = 22.645208, delta_loss = 10.466763, learn_rate = 0.024310125
[DEBUG] 2019-04-20 15:55:03,040 -- CAMF_CU fold [4] iter 4: loss = 49.108185, delta_loss = 51.83166, learn_rate = 0.022049999
[DEBUG] 2019-04-20 15:55:03,042 -- CAMF_CU fold [3] iter 5: loss = 33.243076, delta_loss = 20.447662, learn_rate = 0.0231525
[DEBUG] 2019-04-20 15:55:03,043 -- CAMF_CU fold [1] iter 4: loss = 50.226254, delta_loss = 52.339115, learn_rate = 0.022049999
[DEBUG] 2019-04-20 15:55:03,047 -- CAMF_CU fold [4] iter 5: loss = 30.34491, delta_loss = 18.763277, learn_rate = 0.0231525
[DEBUG] 2019-04-20 15:55:03,049 -- CAMF_CU fold [3] iter 6: loss = 23.220673, delta_loss = 10.022402, learn_rate = 0.024310125
[DEBUG] 2019-04-20 15:55:03,050 -- CAMF_CU fold [1] iter 5: loss = 31.049795, delta_loss = 19.176458, learn_rate = 0.0231525
[DEBUG] 2019-04-20 15:55:03,054 -- CAMF_CU fold [4] iter 6: loss = 21.498312, delta_loss = 8.846598, learn_rate = 0.024310125
[DEBUG] 2019-04-20 15:55:03,056 -- CAMF_CU fold [1] iter 6: loss = 21.926306, delta_loss = 9.123488, learn_rate = 0.024310125
