Final Results by CAMF_CI, Pre5: 0.008210,Pre10: 0.004105, Pre2: 0.020524, Rec5: 0.038778, Rec10: 0.038778, Rec2: 0.038778, AUC5: 0.520066, AUC10: 0.520066, AUC2: 0.520066, MAP5: 0.029491, MAP10: 0.029491, MAP2: 0.029491, NDCG5: 0.032399, NDCG10: 0.032399,NDCG2: 0.032399,MRR5: 0.031534, MRR10: 0.031534,MRR2: 0.031534, numFactors: 3, numIter: 100, lrate: 0.02, maxlrate: -1.0, regB: 1.0E-4, regU: 0.001, regI: 1.0E-4, regC: 1.0E-4, isBoldDriver: true, Time: '00:00','00:00'
Final Results by CAMF_CI, Pre5: 0.020333,Pre10: 0.020772, Rec5: 0.092649, Rec10: 0.188456, AUC5: 0.546033, AUC10: 0.583797, MAP5: 0.043611, MAP10: 0.055830,NDCG5: 0.056735, NDCG10: 0.087786,MRR5: 0.047512, MRR10: 0.060775, numFactors: 3, numIter: 100, lrate: 0.02, maxlrate: -1.0, regB: 1.0E-4, regU: 0.001, regI: 1.0E-4, regC: 1.0E-4, isBoldDriver: true, Time: '00:00','00:00'
Final Results by CAMF_CI, Pre5: 0.021560,Pre10: 0.021058, Rec5: 0.101276, Rec10: 0.198016, AUC5: 0.548675, AUC10: 0.586052, MAP5: 0.042820, MAP10: 0.055415,NDCG5: 0.057938, NDCG10: 0.089283,MRR5: 0.045321, MRR10: 0.058565, numFactors: 3, numIter: 100, lrate: 0.02, maxlrate: -1.0, regB: 1.0E-4, regU: 0.001, regI: 1.0E-4, regC: 1.0E-4, isBoldDriver: true, Time: '00:00','00:00'
Final Results by CAMF_CI, Pre5: 0.020648,Pre10: 0.019936, Rec5: 0.096682, Rec10: 0.188933, AUC5: 0.546621, AUC10: 0.581020, MAP5: 0.046133, MAP10: 0.057993,NDCG5: 0.059421, NDCG10: 0.088950,MRR5: 0.049376, MRR10: 0.061360, numFactors: 3, numIter: 100, lrate: 0.02, maxlrate: -1.0, regB: 1.0E-4, regU: 0.001, regI: 1.0E-4, regC: 1.0E-4, isBoldDriver: true, Time: '00:00','00:00'
Final Results by CAMF_CI, Pre5: 0.023111,Pre10: 0.021011, Rec5: 0.109213, Rec10: 0.196179, AUC5: 0.552025, AUC10: 0.586423, MAP5: 0.053050, MAP10: 0.064472,NDCG5: 0.067412, NDCG10: 0.095822,MRR5: 0.055130, MRR10: 0.067291, numFactors: 3, numIter: 100, lrate: 0.02, maxlrate: -1.0, regB: 1.0E-4, regU: 0.001, regI: 1.0E-4, regC: 1.0E-4, isBoldDriver: true, Time: '00:00','00:00'
Final Results by CAMF_CI, Pre5: 0.023566,Pre10: 0.020415, Rec5: 0.110528, Rec10: 0.190361, AUC5: 0.552979, AUC10: 0.584305, MAP5: 0.052409, MAP10: 0.063061,NDCG5: 0.067383, NDCG10: 0.093567,MRR5: 0.054368, MRR10: 0.065568, numFactors: 3, numIter: 100, lrate: 0.02, maxlrate: -1.0, regB: 1.0E-4, regU: 0.001, regI: 1.0E-4, regC: 1.0E-4, isBoldDriver: true, Time: '00:00','00:00'
Final Results by CAMF_CI, Pre5: 0.022250,Pre10: 0.021006, Rec5: 0.104984, Rec10: 0.195159, AUC5: 0.550742, AUC10: 0.587308, MAP5: 0.050981, MAP10: 0.063207,NDCG5: 0.064979, NDCG10: 0.094930,MRR5: 0.053462, MRR10: 0.066761, numFactors: 3, numIter: 100, lrate: 0.02, maxlrate: -1.0, regB: 1.0E-4, regU: 0.001, regI: 1.0E-4, regC: 1.0E-4, isBoldDriver: true, Time: '00:00','00:00'
Final Results by CAMF_CI, Pre5: 0.028598,Pre10: 0.024912, Rec5: 0.134102, Rec10: 0.238633, AUC5: 0.564357, AUC10: 0.603540, MAP5: 0.060455, MAP10: 0.073934,NDCG5: 0.079510, NDCG10: 0.112953,MRR5: 0.063843, MRR10: 0.077542, numFactors: 3, numIter: 100, lrate: 0.02, maxlrate: -1.0, regB: 1.0E-4, regU: 0.001, regI: 1.0E-4, regC: 1.0E-4, isBoldDriver: true, Time: '00:00','00:00'
Final Results by CAMF_CI, Pre5: 0.032869,Pre10: 0.033658, Rec5: 0.158621, Rec10: 0.327514, AUC5: 0.568179, AUC10: 0.616976, MAP5: 0.069854, MAP10: 0.091667,NDCG5: 0.092055, NDCG10: 0.145989,MRR5: 0.071523, MRR10: 0.093171, numFactors: 3, numIter: 100, lrate: 0.02, maxlrate: -1.0, regB: 1.0E-4, regU: 0.001, regI: 1.0E-4, regC: 1.0E-4, isBoldDriver: true, Time: '00:00','00:00'
Final Results by CAMF_CI, Pre5: 0.040118,Pre10: 0.036814, Rec5: 0.195310, Rec10: 0.357054, AUC5: 0.586300, AUC10: 0.634819, MAP5: 0.100149, MAP10: 0.121573,NDCG5: 0.124267, NDCG10: 0.176614,MRR5: 0.103404, MRR10: 0.124939, numFactors: 3, numIter: 100, lrate: 0.02, maxlrate: -1.0, regB: 1.0E-4, regU: 0.001, regI: 1.0E-4, regC: 1.0E-4, isBoldDriver: true, Time: '00:00','00:00'
Final Results by CAMF_CI, Pre5: 0.026504,Pre10: 0.031304, Rec5: 0.127072, Rec10: 0.302234, AUC5: 0.555925, AUC10: 0.605540, MAP5: 0.053385, MAP10: 0.075823,NDCG5: 0.072282, NDCG10: 0.128107,MRR5: 0.055642, MRR10: 0.077973, numFactors: 3, numIter: 100, lrate: 0.02, maxlrate: -1.0, regB: 1.0E-4, regU: 0.001, regI: 1.0E-4, regC: 1.0E-4, isBoldDriver: true, Time: '00:00','00:00'
Final Results by CAMF_CI, Pre5: 0.029840,Pre10: 0.031035, Rec5: 0.141096, Rec10: 0.296700, AUC5: 0.561749, AUC10: 0.606871, MAP5: 0.061319, MAP10: 0.082265,NDCG5: 0.081646, NDCG10: 0.132059,MRR5: 0.064069, MRR10: 0.084310, numFactors: 3, numIter: 100, lrate: 0.02, maxlrate: -1.0, regB: 1.0E-4, regU: 0.001, regI: 1.0E-4, regC: 1.0E-4, isBoldDriver: true, Time: '00:00','00:00'
